,movie_title,review_content,review_score
1404,Devdas,"At over two and a half hours, the film's epic scale may not suit some Western viewers, but those willing to surrender themselves to the drama are in for a real treat.",4/5
1405,Lift,"Washington's performance is bold, as is a surprisingly powerful Barbara Montgomery as Niecy's grandmother.",A-
1406,Spellbound,One of the best 'sports' documentaries of the year.,5/5
1407,Carrie,...an interminable made-for-television trainwreck that boasts shockingly few positive attributes...,1.5/4
1408,Double Vision,"Looks very much like a lost Chinese episode of The X-Files, but it's still a good, weird ride starring Hong Kong star Tony Leung and American actor David Morse.",3/4
1409,Unconditional Love,"Perdido entre a farsa, a crtica social, o drama e uma trama policial ridcula, o longa faz o mximo para tentar se estabelecer como cult, mas  bobo demais para isso.",2/5
1410,Le Divorce,Merchant-Ivory's fluffiest (if overplotted) comedy of manners.,B+
1411,Grind,"Think Blue Crush without water - or awesome surfing footage, likable characters with real personalities, beautiful girls in bikinis or anything else worth watching.",0/4
1412,Cabin Fever,"The direction by first-timer Eli Roth belies a lifetime spent adoring the finest horror flicks under the sun, and the screenplay is laden with homages and references guaranteed to tickle even the most jaded horror aficionado.",5/5
1413,Luther,"Though LUTHER suffers from bio-pic-itis, it is more than just a pedestrian recitation of events.",B-
1414,Dummy,"So endearing and comedically 'real' are these characters that you'll want to stop the film, climb onscreen and give everyone a big hug.",4.5/5
1415,Suicide Club,"A incompatvel mistura de humor negro, suspense, drama e divagaes pseudo-filosficas acaba desperdiando uma premissa que poderia ter gerado um filme fascinante.",1/5
1416,Good Boy!,"A mix of E.T. and Cats & Dogs, it is a wonderfully sweet family film for all ages.",3/4
1417,House of the Dead,"The question in all these movies are who will survive, if anyone, but in this case, it's also a matter of who cares?",1.5/4
1418,Mayor of the Sunset Strip,"Ostensibly about our fascination with fame, the film actually has very little to say about the subject that hasn't been covered a million times on VH1's ""Behind the Music.""",2/4
1419,The Missing,"While another director might have gone for the elemental saga of the western, Howard keeps the proportions far more effective by maintaining a human scale.",4/5
1420,The Big Empty,"Some may praise The Big Empty as a poor man's David Lynch-meets-The X-Files, but it's more of a starving homeless man's David Lynch-meets-The X-Files.",F
1421,Big Fish,Director Tim Burton finally hooks the one that got away: a script that challenges and deepens his visionary talent.,3.5/4
1422,Highwaymen,A road trip you should definitely not take...one of those movies that generates plenty of unintentional laughs as it drones on.,F
1423,American Gun,"mawkish, unfocused",1.5/4
1424,The Company,"If ""The Company"" had been made as a documentary instead of fictional feature, it would have been directed by Frederick Wiseman. As it stands, Altman's talents are particularly suited to this slice of life film",B
1425,Peter Pan,"Fantasy cinema has a habit of dividing audiences. That said, a lot of people are going to love Peter Pan.",4/5
1426,Torque,Director Joseph Kahn's Torque is inoffensively diverting-it's neither a work of inspired genre genius or mere manipulative commercial trash.,2/4
1427,112 Weddings,"112 Weddings is a real-life romantic tale that's funny, poignant, fascinating and true to life.",8/10
1428,The Reckoning,"A dark, compelling story with a segment that doesn't quite fit the period piece, but the costumes, make-up, and overall tone brings the dark ages to life.",3.5/5
1429,The Girl Next Door,The filmmakers end up with one too many Superman fantasies piled up on top of each other.,2/4
1430,Ned Kelly,"an exciting movie filled with plenty of action, adventure, beautiful cinematography and best of all, terrific performances..Ledger is fantastic as Kelly",3.5/5
1431,Envy,"The license plate that reads ""Caca King"" in Barry Levinson's Envy nicley sums up this dreadful ""money vs. friendship"" comedy.",1/4
1432,The Punisher,"The problem is that the movie is played utterly serious, but keeps tripping over the world of the cliché and ridiculous.",1.5/5
1433,Valentin,"For all of its prettiness, there's nothing going on here that matters much.",2.5/5
1434,The Terminal,"The movie for the most part scores, in spite of muddied premise and a singularly bad casting choice.",3.5/5
1435,Madeleine,Well-made courtroom drama.,B+
1436,King Arthur,Antoine Fuqua's unremarkably competent direction never elevates the material above second-rate Braveheart schlock.,2/4
1437,Let's Get Frank,"Sure, it's in essence a love letter to Barney Frank, but from the looks of things, he seems to deserve it.",3/5
1438,Heartlands,"We never really buy into it, even though we want to.",2/5
1439,7 Days in September,A worthwhile addition to the reams of footage of the day the earth stood still.,2.5/4
1440,Kal Ho Naa Ho,Uncomfortable melding of East and West.,2/4
1441,The 24th Day,"An ethically repugnant, relentlessly monotonous chamber drama that manages the difficult trick of boring and irritating its viewers simultaneously.",F
1442,Uncovered: The War on Iraq,Those willing to forgo style for substance will find it an educational primer on the deeper criticisms being raised by those who oppose the president's Iraq policy.,3/5
1443,Almost Peaceful,"Deville's film is pleasant, its characters good company, but it does not sustain itself.",C+
1444,Lightning in a Bottle,Wobbly documentary with some memorable blues performances.,2.5/5
1445,Pride and Prejudice,"A cute, well-produced film that suffers only in its slow pace and unfortunate editing.",C+
1446,Journey Into Amazing Caves,The extra-large scenery is breathtaking.,B-
1447,Late Night Shopping,"Sad and forced, delivered in embarrassingly stiff and phoney tones.",1/4
1448,Black Cloud,A punch-drunk boxing drama that can't quite connect as it swings for its emotional uppercut.,2.5/4
1449,Lana's Rain,Uses the great recurring American movie theme of immigrants arriving in the big American cities to both good and bad advantage.,2/4
1450,Spin,"James Redford, son of the screen icon, Robert, proves that more than one member of the family is skilled at spinning incisive family-themed drama.",3/4
1451,Everyday People,"Jim McKay's ensemble drama, the opening feature in the annual New Directors/New Films series, has a roaming, lived-in quality.",4/5
1452,Beauty Shop,"Rather clunky and unfunny, [but] its cast has enough personality to make it surprisingly entertaining.",2.5/5
1453,A Snake of June (Rokugatsu no hebi),Tsukamoto has matured since his Tetsuo days and proves more subtly disquieting than younger countryman Takashi Miike,A-
1454,Dead Birds,Evil bastards encounter angry spirits in a haunted house. You do the math.,2.5/5
1455,Hostage,"It's nasty, violent, artistically barren and kind of fun.",3/5
1456,Are We There Yet?,Damn that Satchel Paige bobblehead doll and double-damn director Brian Levant for thinking it was a good idea.,1.5/4
1457,Hide and Seek,An elaborate equation consisting entirely of bad horror tropes and trashy psychological symbolism.,0.5/4
1458,Sacred Planet,A beautiful IMAX film that challenges us to learn from indigenous peoples about how to live in harmony with the good Earth.,4/5
1459,Employee of the Month,"It is bad enough that it's a bad comedy for most of its running time. It adds insult to injury when, in its last act, is also becomes a bad heist movie.",D
1460,The Private Lives of Elizabeth and Essex,"Lavish, star-studded, but ultimately rather dull",3/5
1461,Union Square,"Brutal, mesmerizing documentary on New York heroin addicts. Not for the faint-hearted.",5/5
1462,Cursed,"A werewolf film, completely neutered.",1/4
1463,Sky High,"Takes the tried-and-true route of bullies, PG-rated house parties, nerd-dunking, ""That's my boy"" winking, and vapid teen romance.",1.5/4
1464,The Snow Walker,"Numbingly simplistic adaptation of Farley Mowat's short story, 'Walk Well My Brother.'",1.5/5
1465,Devour,"If you're planning on hitting the crack-pipe this weekend, then here's a good side dish.",1.5/5
1466,Appurushîdo (Appleseed),The film let's us know early on that its cyberdrama will be served cold.,2/4
1467,Sahara,"As Hollywood actioners go these days, this one's quite tolerable in its guilty-pleasure way. Feel free to saddle up.",2.5/4
1468,Nightmare Alley,"A terrific movie, pulled off with a tremendous amount of skill.",4/4
1469,Arven (The Inheritance),"Fly's writing is subtle, believably building upon the small compromises... which create the type of moral vacuum whose creation cannot be understood from the outside.",B+
1470,Moog,Offers a fascinating historical look at the technological side of the 60's revolution in pop music.,3.5/5
1471,Crash,"Haggis turns the screws on a nation's anxieties and helps light the way of personal responsibility through conversation and, if need be, a little divine intervention",3.5/4
1472,Antares,Spielmann ensures only that audiences will be seriously bored.,1.5/4
1473,The Honeymooners,I've seen lots of horrible movies this year. I can't imagine them getting any worse than this.,0/10
1474,Stealth,I'm not sure if I should club it to death or hug it.,2.5/5
1475,The Muppets' Wizard of Oz,"Something's gone horribly wrong at Muppet Central, and it's high time somebody fix it.",1/5
